"('6.S20', 2, 11)",2
"('1.S2b', 3, 11)",2
"('3.S2b', 3, 11)",2
"('1.S3b', 3, 11)",2
"('7.S6a', 3, 11)",2
"('7.S5a', 2, 11)",2
"('7.S8c', 3, 11)",2
"('6.S20', 3, 11)",2
"('7.S15a', 3, 11)",2
"('6.S10', 3, 11)",2
"('1.S2a', 3, 11)",2
"('2.S4a', 3, 11)",2
"('2.RE4a', 3, 11)",2
"('7.S15b', 3, 11)",2
"('7.S16a', 3, 11)",2
"('2.S4b', 3, 11)",2
"('3.S1a', 2, 11)",2
"('2.S1', 2, 11)",2
"('2.S9', 3, 11)",2
"('7.S7a', 3, 11)",2
"('3.S1b', 2, 11)",2
"('7.S3a', 3, 11)",2
"('4.R5', 3, 11)",2
"('7.S12a', 3, 11)",2
"('3.S5', 3, 11)",2
"('7.S9a', 3, 11)",2
"('2.S1', 3, 11)",2
"('7.S3b', 3, 11)",2
"('7.S8b', 3, 11)",2
"('1.S2b', 2, 11)",2
"('7.S14a', 2, 11)",2
"('2.R14', 3, 11)",2
"('7.S14b', 3, 11)",2
"('6.S10', 2, 11)",2
"('2.R13', 3, 11)",2
"('3.S1a', 3, 11)",2
"('3.S2a', 2, 11)",2
"('3.RE1b', 3, 11)",2
"('7.S14a', 3, 11)",2
"('1.S3a', 3, 11)",2
"('3.RE1a', 3, 11)",2
"('2.R10', 3, 11)",2
"('7.S5a', 3, 11)",2
"('7.S24c', 3, 11)",2
"('7.S14b', 2, 11)",2
"('3.S1b', 3, 11)",2
"('6.S41', 3, 11)",2
"('3.S2a', 3, 11)",2
"('7.S24b', 3, 11)",2
